run_id,epoch,mem_lambda,write_threshold,avg_write_ratio,train_loss,val_loss_mem,val_acc_mem,val_loss_nomem,val_acc_nomem
run_20251211_155859,1,0.1,0.5,0.004684375,2.349876053237915,2.3124827613830568,0.087,2.3124827613830568,0.087
run_20251211_155859,2,0.1,0.5,0.0,2.2900274787902832,2.3206335182189943,0.124,2.3206335182189943,0.124
run_20251211_155859,3,0.1,0.5,0.0,2.270172005081177,2.312311496734619,0.148,2.312311496734619,0.148
run_20251211_155859,4,0.1,0.5,0.0,2.235585908508301,2.263893873214722,0.168,2.263893873214722,0.168
run_20251211_155859,5,0.1,0.5,0.0,2.214562937927246,2.2628457679748535,0.159,2.2628457679748535,0.159
run_20251211_155859,6,0.1,0.5,0.0,2.1883187812805174,2.2400257377624513,0.167,2.2400257377624513,0.167
run_20251211_155859,7,0.1,0.5,0.0,2.166199927520752,2.2692815971374514,0.164,2.2692815971374514,0.164
run_20251211_155859,8,0.1,0.5,0.0,2.164014794921875,2.2755223636627195,0.151,2.2755223636627195,0.151
run_20251211_155859,9,0.1,0.5,0.0,2.136999733161926,2.3193472080230713,0.151,2.3193472080230713,0.151
run_20251211_155859,10,0.1,0.5,0.0,2.1153126693725586,2.2619638729095457,0.167,2.2619638729095457,0.167
